open,high,low,close,volume,quote_volume,trades,close_datetime
61760.02,61826.0,61760.01,61826.0,53.04697,3277562.9235228,5108,2024-06-30 20:44:59.999000+02:00
61826.0,62109.81,61825.99,62055.31,492.01169,30496783.9787952,24108,2024-06-30 20:59:59.999000+02:00
62055.3,62094.32,61892.0,61926.01,193.21044,11977292.8652078,13224,2024-06-30 21:14:59.999000+02:00
61926.01,62030.0,61926.0,62004.01,139.25784,8631980.2134373,8638,2024-06-30 21:29:59.999000+02:00
62004.0,62081.01,61952.1,62081.01,125.70511,7794349.8403339,7667,2024-06-30 21:44:59.999000+02:00
62081.01,62100.0,61974.92,62026.83,126.9789,7877800.1469542,11965,2024-06-30 21:59:59.999000+02:00
62026.83,62104.0,62000.0,62070.73,135.721,8422549.8221129,12588,2024-06-30 22:14:59.999000+02:00
62070.72,62274.17,62054.81,62270.01,315.22595,19603249.1040288,25863,2024-06-30 22:29:59.999000+02:00
62270.01,62412.42,62117.45,62152.0,760.75451,47412198.7513246,50416,2024-06-30 22:44:59.999000+02:00
62151.99,62151.99,61980.92,61990.01,188.64359,11705458.6113375,9679,2024-06-30 22:59:59.999000+02:00
61990.0,62014.0,61888.0,61904.0,224.2853,13897484.4877853,10386,2024-06-30 23:14:59.999000+02:00
61903.99,61980.0,61860.0,61950.01,128.26235,7942999.1115459,6424,2024-06-30 23:29:59.999000+02:00
61950.0,61950.01,61884.56,61910.0,67.0884,4153841.2727176,5824,2024-06-30 23:44:59.999000+02:00
61910.0,61950.01,61835.2,61940.01,61.36319,3798847.3070853,6216,2024-06-30 23:59:59.999000+02:00
61940.0,62120.0,61940.0,62104.0,136.11944,8443159.8280868,9264,2024-07-01 00:14:59.999000+02:00
62104.0,62942.57,62080.91,62942.57,883.96253,55326520.8864836,71039,2024-07-01 00:29:59.999000+02:00
62942.56,62952.2,62714.13,62854.01,611.74447,38437827.3213843,34495,2024-07-01 00:44:59.999000+02:00
62854.01,62941.13,62734.63,62901.01,422.61879,26559492.7087864,26766,2024-07-01 00:59:59.999000+02:00
62901.0,63058.76,62825.01,62852.0,402.24367,25328699.3838288,21671,2024-07-01 01:14:59.999000+02:00
62852.0,62940.0,62826.0,62896.0,182.34126,11467620.6128621,15180,2024-07-01 01:29:59.999000+02:00
62896.0,62958.85,62864.0,62864.48,143.15061,9007027.4849238,7336,2024-07-01 01:44:59.999000+02:00
62864.48,62866.8,62762.32,62772.01,201.22264,12640602.0414355,9682,2024-07-01 01:59:59.999000+02:00
62772.01,62809.01,62573.32,62624.0,416.77792,26135578.744731,23182,2024-07-01 02:14:59.999000+02:00
62624.0,62744.99,62621.4,62720.02,196.18162,12299459.8794209,11641,2024-07-01 02:29:59.999000+02:00
62720.02,62839.49,62684.0,62804.6,192.89394,12106007.9119324,12077,2024-07-01 02:44:59.999000+02:00
62804.6,62944.0,62797.04,62931.99,181.27297,11395049.0525221,12182,2024-07-01 02:59:59.999000+02:00
62931.98,63653.37,62901.71,63644.0,1135.4786,71900556.535632,71638,2024-07-01 03:14:59.999000+02:00
63644.0,63650.0,63410.0,63488.0,471.96011,29960987.9314535,30897,2024-07-01 03:29:59.999000+02:00
